대학ID,분류,제목,부제,파일
1,대입자료,[가천대] 2026 학생부종합전형 가이드북,샘플 · 학생부종합 · 전 계열,files/univ/1/res-guidebook-2026.pdf
1,대입자료,[가천대] 2026학년도 수시 전형 결과,샘플 · 전형별·모집단위별 경쟁률,files/univ/1/res-result-2026.pdf
1,대입자료,[가천대] 논술 기출 예시 (인문계열),샘플 · 논술 · 인문논술 · 인문계열,files/univ/1/res-essay-humanities.pdf
1,면접자료,[가천대] 면접 기출 예시 문항,샘플 · 학생부종합 · 서류 기반 면접,files/univ/1/res-interview-questions.pdf
1,면접자료,[가천대] 면접 평가 안내,샘플 · 면접 절차와 평가 요소,files/univ/1/res-interview-guide.pdf
2,대입자료,[강원대] 2026 학생부종합전형 가이드북,샘플 · 학생부종합 · 전 계열,files/univ/2/res-guidebook-2026.pdf
2,대입자료,[강원대] 2026학년도 수시 전형 결과,샘플 · 전형별·모집단위별 경쟁률,files/univ/2/res-result-2026.pdf
2,대입자료,[강원대] 학생부교과전형 안내,샘플 · 학생부교과 · 교과 성적 반영 방법,files/univ/2/res-gyogwa-guide.pdf
2,면접자료,[강원대] 면접 기출 예시 문항,샘플 · 학생부종합 · 서류 기반 면접,files/univ/2/res-interview-questions.pdf
2,면접자료,[강원대] 면접 평가 안내,샘플 · 면접 절차와 평가 요소,files/univ/2/res-interview-guide.pdf
3,대입자료,[건국대] 2026 학생부종합전형 가이드북,샘플 · 학생부종합 · 전 계열,files/univ/3/res-guidebook-2026.pdf
3,대입자료,[건국대] 2026학년도 수시 전형 결과,샘플 · 전형별·모집단위별 경쟁률,files/univ/3/res-result-2026.pdf
3,대입자료,[건국대] 논술 기출 예시 (인문계열),샘플 · 논술 · 인문논술 · 인문계열,files/univ/3/res-essay-humanities.pdf
3,대입자료,[건국대] 논술 기출 예시 (자연계열),샘플 · 논술 · 수리논술 · 자연계열,files/univ/3/res-essay-science.pdf
3,면접자료,[건국대] 면접 기출 예시 문항,샘플 · 학생부종합 · 서류 기반 면접,files/univ/3/res-interview-questions.pdf
3,면접자료,[건국대] 면접 평가 안내,샘플 · 면접 절차와 평가 요소,files/univ/3/res-interview-guide.pdf
4,대입자료,[서울시립대] 2026 학생부종합전형 가이드북,샘플 · 학생부종합 · 전 계열,files/univ/4/res-guidebook-2026.pdf
4,대입자료,[서울시립대] 2026학년도 수시 전형 결과,샘플 · 전형별·모집단위별 경쟁률,files/univ/4/res-result-2026.pdf
4,대입자료,[서울시립대] 논술 기출 예시 (인문계열),샘플 · 논술 · 인문논술 · 인문계열,files/univ/4/res-essay-humanities.pdf
4,대입자료,[서울시립대] 논술 기출 예시 (자연계열),샘플 · 논술 · 수리논술 · 자연계열,files/univ/4/res-essay-science.pdf
4,면접자료,[서울시립대] 면접 기출 예시 문항,샘플 · 학생부종합 · 서류 기반 면접,files/univ/4/res-interview-questions.pdf
5,대입자료,[부산대] 2026 학생부종합전형 가이드북,샘플 · 학생부종합 · 전 계열,files/univ/5/res-guidebook-2026.pdf
5,대입자료,[부산대] 2026학년도 수시 전형 결과,샘플 · 전형별·모집단위별 경쟁률,files/univ/5/res-result-2026.pdf
5,대입자료,[부산대] 논술 기출 예시 (인문계열),샘플 · 논술 · 인문논술 · 인문계열,files/univ/5/res-essay-humanities.pdf
5,면접자료,[부산대] 면접 기출 예시 문항,샘플 · 학생부종합 · 서류 기반 면접,files/univ/5/res-interview-questions.pdf
5,면접자료,[부산대] 면접 평가 안내,샘플 · 면접 절차와 평가 요소,files/univ/5/res-interview-guide.pdf
18,대입자료,[경북대] 2026 학생부종합전형 가이드북,샘플 · 학생부종합 · 전 계열,files/univ/18/res-guidebook-2026.pdf
18,대입자료,[경북대] 2026학년도 수시 전형 결과,샘플 · 전형별·모집단위별 경쟁률,files/univ/18/res-result-2026.pdf
18,대입자료,[경북대] 논술 기출 예시 (인문계열),샘플 · 논술 · 인문논술 · 인문계열,files/univ/18/res-essay-humanities.pdf
18,면접자료,[경북대] 면접 기출 예시 문항,샘플 · 학생부종합 · 서류 기반 면접,files/univ/18/res-interview-questions.pdf
24,대입자료,[경희대] 2026 학생부종합전형 가이드북,샘플 · 학생부종합 · 전 계열,files/univ/24/res-guidebook-2026.pdf
24,대입자료,[경희대] 2026학년도 수시 전형 결과,샘플 · 전형별·모집단위별 경쟁률,files/univ/24/res-result-2026.pdf
24,대입자료,[경희대] 논술 기출 예시 (인문계열),샘플 · 논술 · 인문논술 · 인문계열,files/univ/24/res-essay-humanities.pdf
24,대입자료,[경희대] 논술 기출 예시 (자연계열),샘플 · 논술 · 수리논술 · 자연계열,files/univ/24/res-essay-science.pdf
24,면접자료,[경희대] 면접 기출 예시 문항,샘플 · 학생부종합 · 서류 기반 면접,files/univ/24/res-interview-questions.pdf
24,면접자료,[경희대] 면접 평가 안내,샘플 · 면접 절차와 평가 요소,files/univ/24/res-interview-guide.pdf
114,대입자료,[순천향대] 2026 학생부종합전형 가이드북,샘플 · 학생부종합 · 전 계열,files/univ/114/res-guidebook-2026.pdf
114,대입자료,[순천향대] 2026학년도 수시 전형 결과,샘플 · 전형별·모집단위별 경쟁률,files/univ/114/res-result-2026.pdf
114,대입자료,[순천향대] 학생부교과전형 안내,샘플 · 학생부교과 · 교과 성적 반영 방법,files/univ/114/res-gyogwa-guide.pdf
114,면접자료,[순천향대] 면접 기출 예시 문항,샘플 · 학생부종합 · 서류 기반 면접,files/univ/114/res-interview-questions.pdf
135,대입자료,[원광대] 2026 학생부종합전형 가이드북,샘플 · 학생부종합 · 전 계열,files/univ/135/res-guidebook-2026.pdf
135,대입자료,[원광대] 2026학년도 수시 전형 결과,샘플 · 전형별·모집단위별 경쟁률,files/univ/135/res-result-2026.pdf
135,대입자료,[원광대] 학생부교과전형 안내,샘플 · 학생부교과 · 교과 성적 반영 방법,files/univ/135/res-gyogwa-guide.pdf
135,면접자료,[원광대] 면접 기출 예시 문항,샘플 · 학생부종합 · 서류 기반 면접,files/univ/135/res-interview-questions.pdf
135,면접자료,[원광대] 면접 평가 안내,샘플 · 면접 절차와 평가 요소,files/univ/135/res-interview-guide.pdf
143,대입자료,[인하대] 2026 학생부종합전형 가이드북,샘플 · 학생부종합 · 전 계열,files/univ/143/res-guidebook-2026.pdf
143,대입자료,[인하대] 2026학년도 수시 전형 결과,샘플 · 전형별·모집단위별 경쟁률,files/univ/143/res-result-2026.pdf
143,대입자료,[인하대] 논술 기출 예시 (인문계열),샘플 · 논술 · 인문논술 · 인문계열,files/univ/143/res-essay-humanities.pdf
143,면접자료,[인하대] 면접 기출 예시 문항,샘플 · 학생부종합 · 서류 기반 면접,files/univ/143/res-interview-questions.pdf
