대학ID,날짜,제목,요약,링크
1,2026-09-10,[샘플] 2027학년도 수시모집 원서접수 안내,원서접수 기간·제출 서류·유의사항을 안내하는 개발용 샘플 소식입니다. 실제 일정은 가천대학교 입학처 공고를 확인하세요.,
1,2026-07-10,[샘플] 2027학년도 수시 입학설명회 개최,고교생·학부모를 대상으로 한 입학설명회 안내 예시입니다. 날짜와 장소는 가상의 정보입니다.,
1,2026-05-26,[샘플] 2027학년도 수시모집요강 공개,모집요강이 공개되었다는 가정의 샘플 소식입니다. 모집요강 탭에서 샘플 PDF를 볼 수 있습니다.,
1,2026-03-03,[샘플] 2026학년도 수시 전형 결과 공개,2026학년도 수시 전형 결과(경쟁률·충원율) 공개를 가정한 샘플 소식입니다. 자료실의 '2026학년도 수시 전형 결과' 샘플 파일을 참고하세요.,
2,2026-09-08,[샘플] 2027학년도 수시모집 원서접수 안내,원서접수 기간·제출 서류·유의사항을 안내하는 개발용 샘플 소식입니다. 실제 일정은 강원대학교 입학처 공고를 확인하세요.,
2,2026-07-12,[샘플] 2027학년도 수시 입학설명회 개최,고교생·학부모를 대상으로 한 입학설명회 안내 예시입니다. 날짜와 장소는 가상의 정보입니다.,
2,2026-05-29,[샘플] 2027학년도 수시모집요강 공개,모집요강이 공개되었다는 가정의 샘플 소식입니다. 모집요강 탭에서 샘플 PDF를 볼 수 있습니다.,
3,2026-09-09,[샘플] 2027학년도 수시모집 원서접수 안내,원서접수 기간·제출 서류·유의사항을 안내하는 개발용 샘플 소식입니다. 실제 일정은 건국대학교 서울캠퍼스 입학처 공고를 확인하세요.,
3,2026-07-23,[샘플] 2027학년도 수시 입학설명회 개최,고교생·학부모를 대상으로 한 입학설명회 안내 예시입니다. 날짜와 장소는 가상의 정보입니다.,
3,2026-05-24,[샘플] 2027학년도 수시모집요강 공개,모집요강이 공개되었다는 가정의 샘플 소식입니다. 모집요강 탭에서 샘플 PDF를 볼 수 있습니다.,
3,2026-03-22,[샘플] 2026학년도 수시 전형 결과 공개,2026학년도 수시 전형 결과(경쟁률·충원율) 공개를 가정한 샘플 소식입니다. 자료실의 '2026학년도 수시 전형 결과' 샘플 파일을 참고하세요.,
4,2026-09-04,[샘플] 2027학년도 수시모집 원서접수 안내,원서접수 기간·제출 서류·유의사항을 안내하는 개발용 샘플 소식입니다. 실제 일정은 서울시립대학교 입학처 공고를 확인하세요.,
4,2026-07-06,[샘플] 2027학년도 수시 입학설명회 개최,고교생·학부모를 대상으로 한 입학설명회 안내 예시입니다. 날짜와 장소는 가상의 정보입니다.,
4,2026-05-26,[샘플] 2027학년도 수시모집요강 공개,모집요강이 공개되었다는 가정의 샘플 소식입니다. 모집요강 탭에서 샘플 PDF를 볼 수 있습니다.,
4,2026-03-13,[샘플] 2026학년도 수시 전형 결과 공개,2026학년도 수시 전형 결과(경쟁률·충원율) 공개를 가정한 샘플 소식입니다. 자료실의 '2026학년도 수시 전형 결과' 샘플 파일을 참고하세요.,
4,2025-12-10,[샘플] 2026학년도 수시 최초합격자 발표 안내,합격자 발표 및 등록 절차를 안내하는 샘플 소식입니다. 실제 발표 일정과 다를 수 있습니다.,
5,2026-09-08,[샘플] 2027학년도 수시모집 원서접수 안내,원서접수 기간·제출 서류·유의사항을 안내하는 개발용 샘플 소식입니다. 실제 일정은 부산대학교 입학처 공고를 확인하세요.,
5,2026-07-22,[샘플] 2027학년도 수시 입학설명회 개최,고교생·학부모를 대상으로 한 입학설명회 안내 예시입니다. 날짜와 장소는 가상의 정보입니다.,
5,2026-05-27,[샘플] 2027학년도 수시모집요강 공개,모집요강이 공개되었다는 가정의 샘플 소식입니다. 모집요강 탭에서 샘플 PDF를 볼 수 있습니다.,
5,2026-03-05,[샘플] 2026학년도 수시 전형 결과 공개,2026학년도 수시 전형 결과(경쟁률·충원율) 공개를 가정한 샘플 소식입니다. 자료실의 '2026학년도 수시 전형 결과' 샘플 파일을 참고하세요.,
18,2026-09-11,[샘플] 2027학년도 수시모집 원서접수 안내,원서접수 기간·제출 서류·유의사항을 안내하는 개발용 샘플 소식입니다. 실제 일정은 경북대학교 입학처 공고를 확인하세요.,
18,2026-07-10,[샘플] 2027학년도 수시 입학설명회 개최,고교생·학부모를 대상으로 한 입학설명회 안내 예시입니다. 날짜와 장소는 가상의 정보입니다.,
18,2026-05-21,[샘플] 2027학년도 수시모집요강 공개,모집요강이 공개되었다는 가정의 샘플 소식입니다. 모집요강 탭에서 샘플 PDF를 볼 수 있습니다.,
18,2026-03-08,[샘플] 2026학년도 수시 전형 결과 공개,2026학년도 수시 전형 결과(경쟁률·충원율) 공개를 가정한 샘플 소식입니다. 자료실의 '2026학년도 수시 전형 결과' 샘플 파일을 참고하세요.,
18,2025-12-15,[샘플] 2026학년도 수시 최초합격자 발표 안내,합격자 발표 및 등록 절차를 안내하는 샘플 소식입니다. 실제 발표 일정과 다를 수 있습니다.,
24,2026-09-01,[샘플] 2027학년도 수시모집 원서접수 안내,원서접수 기간·제출 서류·유의사항을 안내하는 개발용 샘플 소식입니다. 실제 일정은 경희대학교 입학처 공고를 확인하세요.,
24,2026-07-17,[샘플] 2027학년도 수시 입학설명회 개최,고교생·학부모를 대상으로 한 입학설명회 안내 예시입니다. 날짜와 장소는 가상의 정보입니다.,
